drift_window_id,window_start,window_end,drift_type,monitored_feature,baseline_value,current_value,drift_score,drift_status,drift_warning,recalibration_recommendation,requires_review
DRIFT-WINDOW-002,2026-01-01 11:00:00,2026-01-01 14:00:00,data_drift,heart_rate,73.3778,72.3865,0.7661,severe_shift,Severe shift: heart rate changed substantially and should be reviewed before relying on later simulated outputs.,retraining_review_recommended,True
DRIFT-WINDOW-002,2026-01-01 11:00:00,2026-01-01 14:00:00,data_drift,instability_score,0.0685,0.0794,0.0861,stable,Stable: no meaningful instability score shift detected in data drift.,no_action_needed,False
DRIFT-WINDOW-002,2026-01-01 11:00:00,2026-01-01 14:00:00,data_drift,oxygen_saturation,96.1251,96.1012,0.515,severe_shift,Severe shift: oxygen saturation changed substantially and should be reviewed before relying on later simulated outputs.,retraining_review_recommended,True
DRIFT-WINDOW-002,2026-01-01 11:00:00,2026-01-01 14:00:00,data_drift,respiratory_rate,15.1944,15.125,0.6014,severe_shift,Severe shift: respiratory rate changed substantially and should be reviewed before relying on later simulated outputs.,retraining_review_recommended,True
DRIFT-WINDOW-003,2026-01-01 14:00:00,2026-01-01 17:00:00,data_drift,heart_rate,72.8821,74.9058,0.2695,moderate_shift,Moderate shift: heart rate changed enough to justify review of simulated thresholds or workflow assumptions.,review_thresholds,True
DRIFT-WINDOW-003,2026-01-01 14:00:00,2026-01-01 17:00:00,data_drift,instability_score,0.074,0.1654,0.254,moderate_shift,Moderate shift: instability score changed enough to justify review of simulated thresholds or workflow assumptions.,review_thresholds,False
DRIFT-WINDOW-003,2026-01-01 14:00:00,2026-01-01 17:00:00,data_drift,oxygen_saturation,96.1132,96.0431,0.1781,mild_shift,Mild shift: oxygen saturation changed slightly in data drift; monitor the next window.,monitor_next_window,False
DRIFT-WINDOW-003,2026-01-01 14:00:00,2026-01-01 17:00:00,data_drift,respiratory_rate,15.1597,14.9541,0.4806,severe_shift,Severe shift: respiratory rate changed substantially and should be reviewed before relying on later simulated outputs.,retraining_review_recommended,True
DRIFT-WINDOW-002,2026-01-01 14:15:00,2026-01-01 17:15:00,alert_distribution_drift,alert_risk_score,0.6723,0.6028,2.0519,severe_shift,Severe shift: alert risk score changed substantially and should be reviewed before relying on later simulated outputs.,review_alert_logic,True
DRIFT-WINDOW-002,2026-01-01 14:15:00,2026-01-01 17:15:00,alert_distribution_drift,alert_type_distribution,"{""anomaly_detected"": 0.3333, ""multiple_risk_signals"": 0.6667}","{""anomaly_detected"": 0.3333, ""future_deterioration_risk"": 0.1667, ""multiple_risk_signals"": 0.3333, ""respiratory_rate_increase"": 0.1667}",0.3333,moderate_shift,Moderate shift: alert type distribution changed enough to justify review of simulated thresholds or workflow assumptions.,review_alert_logic,False
DRIFT-WINDOW-002,2026-01-01 14:15:00,2026-01-01 17:15:00,alert_distribution_drift,alert_volume,3.0,6.0,1.0,severe_shift,Severe shift: alert volume changed substantially and should be reviewed before relying on later simulated outputs.,review_alert_logic,True
DRIFT-WINDOW-002,2026-01-01 14:15:00,2026-01-01 17:15:00,alert_distribution_drift,severity_distribution,"{""critical"": 0.6667, ""low"": 0.3333}","{""critical"": 0.5, ""low"": 0.3333, ""medium"": 0.1667}",0.1667,mild_shift,Mild shift: severity distribution changed slightly in alert distribution drift; monitor the next window.,monitor_next_window,False
DRIFT-WINDOW-002,2026-01-01 14:15:00,2026-01-01 17:15:00,reliability_drift,reliability_alert_volume,2.5,4.0,0.6,severe_shift,Severe shift: reliability alert volume changed substantially and should be reviewed before relying on later simulated outputs.,retraining_review_recommended,True
DRIFT-WINDOW-002,2026-01-01 14:15:00,2026-01-01 17:15:00,reliability_drift,reliability_score,0.9933,0.9155,0.0778,stable,Stable: no meaningful reliability score shift detected in reliability drift.,no_action_needed,False
DRIFT-WINDOW-002,2026-01-01 14:15:00,2026-01-01 17:15:00,response_behavior_drift,average_response_time_minutes,12.7433,26.3683,1.0,severe_shift,Severe shift: average response time minutes changed substantially and should be reviewed before relying on later simulated outputs.,review_workflow_behavior,True
DRIFT-WINDOW-002,2026-01-01 14:15:00,2026-01-01 17:15:00,response_behavior_drift,delayed_alert_rate,0.0,0.0,0.0,stable,Stable: no meaningful delayed alert rate shift detected in response behavior drift.,no_action_needed,False
DRIFT-WINDOW-002,2026-01-01 14:15:00,2026-01-01 17:15:00,response_behavior_drift,ignored_alert_rate,0.0,0.1667,0.1667,mild_shift,Mild shift: ignored alert rate changed slightly in response behavior drift; monitor the next window.,monitor_next_window,False
DRIFT-WINDOW-002,2026-01-01 14:15:00,2026-01-01 17:15:00,response_behavior_drift,simulated_response_distribution,"{""accepted"": 0.3333, ""escalated"": 0.3333, ""marked_useful"": 0.3333}","{""accepted"": 0.3333, ""escalated"": 0.3333, ""ignored"": 0.1667, ""marked_false"": 0.1667}",0.3333,moderate_shift,Moderate shift: simulated response distribution changed enough to justify review of simulated thresholds or workflow assumptions.,review_workflow_behavior,False
DRIFT-WINDOW-004,2026-01-01 17:00:00,2026-01-01 20:00:00,data_drift,heart_rate,73.5567,79.4532,0.3797,severe_shift,Severe shift: heart rate changed substantially and should be reviewed before relying on later simulated outputs.,retraining_review_recommended,True
DRIFT-WINDOW-004,2026-01-01 17:00:00,2026-01-01 20:00:00,data_drift,instability_score,0.1044,0.3234,0.6524,severe_shift,Severe shift: instability score changed substantially and should be reviewed before relying on later simulated outputs.,retraining_review_recommended,True
