category,metric,value
dataset,total_patients,5
dataset,total_vital_rows,1445
dataset,deterioration_event_rate,0.0104
dataset,missing_data_rate,0.0277
dataset,sensor_noise_rate,0.0208
alerts,total_raw_alerts,477
alerts,total_audited_alerts,477
alerts,total_fatigue_reduced_alerts,477
alerts,active_alerts_after_reduction,395
alerts,critical_alert_count,300
alerts,alert_reduction_rate,0.1719
alerts,critical_preservation_rate,1.0
audit_fatigue,average_actionability_score,0.797
audit_fatigue,average_fatigue_risk_score,0.5939
audit_fatigue,average_false_positive_likelihood,0.1032
audit_fatigue,grouped_alert_count,63
audit_fatigue,delayed_alert_count,2
audit_fatigue,downgraded_alert_count,16
workflow,total_responses,477
workflow,ignored_alert_rate,0.0482
workflow,delayed_alert_rate,0.0629
workflow,escalation_rate,0.5577
workflow,average_response_time_minutes,23.7325
workflow,average_clinician_burden_score,0.6264
workflow,average_perceived_alert_usefulness,0.7176
reliability,average_reliability_score,0.8967
reliability,stable_window_count,11
reliability,watch_window_count,0
reliability,degraded_window_count,0
reliability,unsafe_window_count,0
reliability,windows_requiring_review,6
drift,average_drift_score,1.0504
drift,severe_drift_count,56
drift,moderate_drift_count,12
drift,drift_checks_requiring_review,64
drift,most_common_drift_type,data_drift
model_update_rl,current_threshold,0.65
model_update_rl,proposed_threshold,0.65
model_update_rl,threshold_change,0.0
model_update_rl,deployment_recommendation,retraining_review_recommended
model_update_rl,rl_recommended_action,keep_threshold
model_update_rl,rl_recommended_threshold,0.65
model_update_rl,rl_safety_violation_count,3
model_update_rl,human_review_required,True
llm_action,total_explanations,50
llm_action,fallback_explanation_count,50
llm_action,total_action_recommendations,50
llm_action,immediate_action_count,29
llm_action,urgent_action_count,0
llm_action,rag_coverage_rate,1.0
database_demo_readiness,database_available,True
database_demo_readiness,database_table_count,11
database_demo_readiness,database_total_rows_loaded,3000
project,simulation_only_note,Metrics are calculated from simulated project artifacts only; they are not clinical validation and must not be interpreted as real-world medical safety.
